2025-11-16T16:28:51.886Z||XHDp2hUVHLc3G4fU||CONF||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"hostId":"node-123.test.test","applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"master","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logLight":false,"logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-11-16 16:28:57.729|http-nio-80-exec-7#46|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|8-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#26#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:28:57.891|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|9|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#save#54R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:28:57.892|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|10|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#save#48#R|[{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":123,"deceases":"unko**","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
2025-11-16 16:28:57.891|http-nio-80-exec-5#44|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|5|JSON|UserService.java#io.bitryon.example.web.service.rpc.UserService#save#0#R|[{"name":"br***ng","id":789,"age":1001,"driverLisenceId":"******"}]
2025-11-16 16:28:57.892|http-nio-80-exec-5#44|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|6|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-11-16 16:28:57.892|http-nio-80-exec-5#44|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|7|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-16 16:28:57.884|http-nio-80-exec-8#47|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|4-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#save#62#|[{"user":{"name":"br***ng","id":0,"age":1001,"driverLisenceId":"******"}}]
2025-11-16 16:28:57.884|http-nio-80-exec-8#47|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|4-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#save#62#R|[{"name":"br***ng","id":789,"age":1001,"driverLisenceId":"******"}]
2025-11-16 16:28:58.816|http-nio-80-exec-1#40|4UeuS6Ollero6nrll4FJifcsII6xWDn5|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"0:0:0:0:0:0:0:1:57506"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"headers":{}},{"body":{}}]
2025-11-16 16:28:58.827|http-nio-80-exec-1#40|4UeuS6Ollero6nrll4FJifcsII6xWDn5|2|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#41#|[{"recipient":"test@email.email","verificationUrl":"http://localhost/unHookedThreadDelivery/1763310538824"}]
2025-11-16 16:28:58.840|http-nio-80-exec-1#40|4UeuS6Ollero6nrll4FJifcsII6xWDn5|3|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#41#R|[null]
2025-11-16 16:29:00.307|http-nio-80-exec-6#45|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|21-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"127.0.0.1:57497"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-16 16:29:00.308|http-nio-80-exec-6#45|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|21-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#26#|[{"userId":456}]
2025-11-16 16:29:00.308|http-nio-80-exec-6#45|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|21-3|TEXT|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#31|This should be remote service, will be with trace for user 456
2025-11-16 16:29:00.308|http-nio-80-exec-6#45|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|21-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#26#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:29:00.291|http-nio-80-exec-7#46|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|5-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"127.0.0.1:57497"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_session_id"},{"headers":{}},{"body":{}}]
2025-11-16 16:29:00.293|http-nio-80-exec-7#46|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|5-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getBySessionId#45#|[{"sessionId":"xxx"}]
2025-11-16 16:29:00.294|http-nio-80-exec-7#46|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|5-3|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getBySessionId#45#R|[{"name":"ra***ly","id":456,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:29:00.280|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"0:0:0:0:0:0:0:1:57506"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/query"},{"headers":{}},{"body":{"session_id":["xxx"],"offset":["0"],"size":["123"]}}]
2025-11-16 16:29:00.287|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|2|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":1763310540287}]
2025-11-16 16:29:00.287|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|3|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-16 16:29:00.288|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|4|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#28#|[{"sessionId":"xxx","page":{"size":123,"offset":0}}]
2025-11-16 16:29:00.289|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|5|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#29|[{"sessionId":"xxx"}]
2025-11-16 16:29:00.295|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|6|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#29R|[{"name":"ra***ly","id":456,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:29:00.296|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|7|JSON|MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#query#17#|[{"userId":456,"page":{"size":123,"offset":0}}]
2025-11-16 16:29:00.296|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|8|JSON|MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#query#17#R|[[{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123},{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456},{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789}]]
2025-11-16 16:29:00.296|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|9|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation#68#|[{"testString":"xxx"}]
2025-11-16 16:29:00.296|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|10|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_protected#73#|[{"testString":"xxx"}]
2025-11-16 16:29:00.296|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|11|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_friendly#78#|[{"testString":"xxx"}]
2025-11-16 16:29:00.297|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|12|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_private#83#|[{"testString":"xxx"}]
2025-11-16 16:29:00.297|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|13|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_final#88#|[{"testString":"xxx"}]
2025-11-16 16:29:00.297|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|14|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_final#88#R|["1763310540297"]
2025-11-16 16:29:00.297|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|15|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_private#83#R|["1763310540297"]
2025-11-16 16:29:00.297|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|16|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_friendly#78#R|["1763310540297"]
2025-11-16 16:29:00.297|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|17|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_protected#73#R|["1763310540297"]
2025-11-16 16:29:00.298|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|18|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation#68#R|["1763310540298"]
2025-11-16 16:29:00.299|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|19|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":123}]
2025-11-16 16:29:00.305|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|20|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:29:00.305|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|21|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":456}]
2025-11-16 16:29:00.309|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|22|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:29:00.310|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|23|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":789}]
2025-11-16 16:29:00.315|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|24|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:29:00.315|http-nio-80-exec-3#42|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|25|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#query#28#R|[[{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123}},{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456}},{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789}}]]
2025-11-16 16:29:00.312|http-nio-80-exec-5#44|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|23-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"127.0.0.1:57497"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-16 16:29:00.313|http-nio-80-exec-5#44|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|23-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#26#|[{"userId":789}]
2025-11-16 16:29:00.313|http-nio-80-exec-5#44|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|23-3|TEXT|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#31|This should be remote service, will be with trace for user 789
2025-11-16 16:29:00.313|http-nio-80-exec-5#44|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|23-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#26#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-11-16 16:29:00.302|http-nio-80-exec-8#47|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|19-1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"127.0.0.1:57497"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-16 16:29:00.304|http-nio-80-exec-8#47|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|19-2|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#26#|[{"userId":123}]
2025-11-16 16:29:00.304|http-nio-80-exec-8#47|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|19-3|TEXT|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#31|This should be remote service, will be with trace for user 123
2025-11-16 16:29:00.304|http-nio-80-exec-8#47|1YSJzxEUmLJXV0hgRpNA29xdmaLsVJEX|19-4|JSON|UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#26#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
